20.0,1.90,0.30,0.67,0.30,0.70
20.0,1.90,0.31,1.30,0.12,0.88
20.0,1.91,0.23,0.11,0.22,0.78
20.0,1.92,0.27,0.38,0.24,0.76
20.0,1.92,0.35,0.00,0.12,0.88
20.0,1.93,0.28,0.38,0.24,0.76
20.0,1.93,0.46,0.68,0.20,0.80
20.0,1.96,0.29,0.32,0.18,0.82
20.0,1.96,0.37,1.13,0.00,1.00
20.0,1.97,0.20,0.55,0.40,0.60
20.0,1.97,0.27,0.30,0.28,0.72
20.0,1.97,0.37,0.34,0.57,0.43
20.0,2.00,0.14,0.63,0.32,0.68
20.0,2.01,0.07,0.45,0.51,0.49
20.0,2.03,0.07,0.45,0.52,0.48
20.0,2.05,0.28,0.68,0.18,0.82
20.0,2.06,0.33,0.17,0.32,0.68
20.0,2.09,0.24,0.45,0.27,0.73
20.0,2.09,0.56,0.56,0.89,0.11
20.0,2.11,0.12,0.38,0.38,0.62
20.0,2.11,0.19,0.62,0.32,0.68
20.0,2.11,0.35,0.98,0.29,0.71
20.0,2.11,0.40,0.64,0.16,0.84
20.0,2.12,0.11,0.11,0.06,0.94
20.0,2.12,0.18,0.60,0.25,0.75
20.0,2.12,0.37,0.57,0.31,0.69
20.0,2.13,0.07,0.47,0.49,0.51
20.0,2.13,0.33,0.43,0.32,0.68
20.0,2.14,0.18,0.62,0.26,0.74
20.0,2.14,0.34,0.42,0.31,0.69
20.0,2.15,0.26,0.39,0.56,0.44
20.0,2.15,0.30,0.52,0.26,0.74
20.0,2.15,0.49,1.48,0.01,0.99
20.0,2.16,0.41,0.72,0.13,0.87
20.0,2.17,0.24,0.10,0.83,0.17
20.0,2.18,0.17,0.11,0.13,0.87
20.0,2.20,0.14,0.15,0.74,0.26
20.0,2.21,0.21,0.00,0.35,0.65
20.0,2.21,0.25,0.51,0.31,0.69
20.0,2.22,0.22,0.39,0.24,0.76
20.0,2.22,0.29,0.00,0.09,0.91
20.0,2.22,0.38,0.51,0.45,0.55
20.0,2.23,0.21,0.00,0.35,0.65
20.0,2.24,0.22,0.00,0.35,0.65
20.0,2.25,0.21,0.57,0.34,0.66
20.0,2.26,0.20,0.49,0.71,0.29
20.0,2.26,0.24,0.02,0.12,0.88
20.0,2.27,0.19,0.60,0.22,0.78
20.0,2.27,0.37,0.42,0.34,0.66
20.0,2.28,0.37,0.48,0.48,0.52
20.0,2.29,0.21,0.46,0.31,0.69
20.0,2.29,0.23,0.00,0.35,0.65
20.0,2.29,0.23,0.06,0.66,0.34
20.0,2.30,0.13,0.04,0.05,0.95
20.0,2.32,0.28,0.17,0.24,0.76
20.0,2.33,0.29,0.62,0.27,0.73
20.0,2.34,0.23,0.54,0.42,0.58
20.0,2.34,0.35,0.47,0.43,0.57
20.0,2.35,0.21,0.54,0.36,0.64
20.0,2.35,0.26,0.63,0.31,0.69
20.0,2.35,0.29,0.41,0.28,0.72
20.0,2.35,0.37,0.52,0.31,0.69
20.0,2.36,0.36,0.44,0.29,0.71
20.0,2.37,0.26,0.40,0.22,0.78
20.0,2.37,0.29,0.48,0.37,0.63
20.0,2.38,0.29,0.41,0.28,0.72
20.0,2.39,0.28,0.31,0.29,0.72
20.0,2.39,0.30,0.40,0.29,0.71
20.0,2.41,0.28,0.31,0.28,0.72
20.0,2.41,0.30,0.50,0.18,0.82
20.0,2.42,0.22,0.44,0.39,0.61
20.0,2.42,0.23,0.54,0.35,0.65
20.0,2.42,0.30,0.42,0.29,0.71
20.0,2.43,0.30,0.62,0.29,0.71
20.0,2.43,0.33,0.38,0.21,0.79
20.0,2.44,0.26,0.24,0.15,0.85
20.0,2.45,0.08,0.50,0.50,0.50
20.0,2.45,0.29,0.38,0.22,0.78
20.0,2.45,0.30,0.42,0.29,0.71
