id,name,material_type_concatenated,surface_type,transparency_type,from_orton_cone,to_orton_cone,SiO2_percent_mol,Al2O3_percent_mol,B2O3_percent_mol,Li2O_percent_mol,K2O_percent_mol,Na2O_percent_mol,KNaO_percent_mol,BeO_percent_mol,MgO_percent_mol,CaO_percent_mol,SrO_percent_mol,BaO_percent_mol,ZnO_percent_mol,PbO_percent_mol,P2O5_percent_mol,F_percent_mol,V2O5_percent_mol,Cr2O3_percent_mol,MnO_percent_mol,MnO2_percent_mol,FeO_percent_mol,Fe2O3_percent_mol,CoO_percent_mol,NiO_percent_mol,CuO_percent_mol,Cu2O_percent_mol,CdO_percent_mol,TiO2_percent_mol,ZrO_percent_mol,ZrO2_percent_mol,SnO2_percent_mol
51751,Tove Cone 6 Pink,Red - Pink,Glossy,Translucent,6,6,66.7486,4.5243,5.0101,0,0.5453,4.8281,5.3735,0,0.0964,14.2747,0.0185,0.6392,0.9282,0,0,0,0,0.0125,0,0,0.0197,0.0892,0,0,0,0,0,0.162,0,0,2.1031
51782,Dave Brubeck Base (Bloomer 2015),Clear,Glossy - Semi,Transparent,9,12,73.2068,9.66,0,0,2.0995,2.4257,4.5252,0,5.3115,7.082,0,0,0,0,0.0119,0,0,0,0,0,0,0.0861,0,0,0,0,0,0.1167,0,0,0
51783,Original Burke Orange,Glaze,,,,,59.268,11.3005,0,0,2.2852,5.9352,8.2205,0,0.0169,9.4848,3.0789,0,0,0,0.0083,0,0,0,0,0,0,1.7691,0,0,0,0,0,6.8529,0,0,0
51817,Heavy Iron Glaze with crystals,Specialty - Metallic,Glossy,Opaque,6,6,62.9672,1.879,19.9991,0,0.2493,6.0686,6.3179,0,0.0105,0.6577,0,0,0,0,0.0075,0,0,0,0,0,0,8.1416,0,0,0,0,0,0.0195,0,0,0
51832,magnesium matte test 2,Matte - Magnesium Matte,Matte,Semi-opaque,,,64.8149,6.6581,2.2918,0,0.9249,3.9944,4.9193,0,5.1204,13.5284,0,0,2.5471,0,0.0127,0,0,0,0,0,0,0.0657,0,0,0,0,0,0.0416,0,0,0
51882,cat eye gloss,Glaze,Glossy,Semi-opaque,5,6,59.7082,6.2012,2.5297,0,3.1795,1.8592,5.0387,0,2.3879,7.4944,0,0,8.0742,0,0.0106,0,0,0,0,0,0,0.8492,0.2763,0,0,0,0,7.4296,0,0,0
51886,pillow baby blue,Glaze,Matte,Opaque,5,6,66.666,5.8481,2.4786,0,5.8105,0.4156,6.2262,0,6.7324,8.1925,0,0,0,0,0.0045,0,0,0,0,0,0,0.0161,0.0541,0,0.2606,0,0,0.0081,0,3.5127,0
51952,Limestone Black - Fiske Oilspot Variation,Iron - Tenmoku,Glossy,Semi-opaque,8,11,66.8378,9.4767,0,0,2.2029,4.7893,6.9922,0,2.7606,8.9798,0,0,0,0,0.0061,0,0,0,0,1.9851,0,2.3895,0.5566,0,0,0,0,0.0158,0,0,0
51953,Limestone Black Iridescent Variation - Fiske Oilspot,Iron - Tenmoku,Satin - Matte,Opaque,8,11,65.2379,8.0345,0,0,4.3876,1.9987,6.3863,0,2.5935,7.5744,0,0,0,0,0.0058,0,0,0,0,6.3389,0,3.8136,0,0,0,0,0,0.0151,0,0,0
52127,Snow White's Freckles,Glaze,Glossy,Opaque,5,8,64.0221,6.5569,0,0,4.9756,0.0656,5.0413,0,0.0672,10.1332,0,0,9.9323,0,0,0,0,0,0,0,0,0.0296,0,0,0,0,0,4.2174,0,0,0
52131,Earth algae bloom,Glaze,Glossy,Opaque,5,8,60.0936,7.5629,0,0,1.332,4.2953,5.6274,0,0.1399,10.155,0,0,9.6162,0,0.006,0,0,0,0,0,0,0.0609,0,0,2.6394,0,0,4.0988,0,0,0
52135,Spodish,Glaze,Glossy,Opaque,5,8,59.6887,8.1365,0,6.5937,0.0472,0.1273,0.1745,0,0.0707,9.4825,0,0,9.2619,0,0.0367,0,0,0,0.0074,0,0,0.0541,0,0,2.5421,0,0,3.9511,0,0,0
52141,J3A kon 8,Blue - Cobalt,Matte - Dry,Opaque,8,8,56.6871,12.696,0,0,5.5318,0,5.5318,0,0,17.3796,0,0,0,0,0,0,0,0,0,0,0,0.8124,0.6639,0,0,0,0,6.2292,0,0,0
52144,Basic Crystalline Glaze,Crystalline - Macro,,,10,10,63.9622,1.9422,1.3658,0,1.2029,8.0193,9.2222,0,0,3.308,0,0,20.1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52183,YNS-03,"White, Off-White",Satin,Opaque,7,6,53.7862,6.6647,16.347,0,4.1885,5.0887,9.2772,0,0.1898,13.7085,0,0,0,0,0,0,0,0,0,0,0,0.0248,0,0,0,0,0,0.0017,0,0,0
52217,Steve's Creepy Crawl,"White, Off-White",Satin - Matte,Opaque,6,6,60.3299,16.6752,4.4369,0,0,2.219,2.219,0,9.7268,0,0,0,6.6121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
